Date,TimeOfDay,AdSpend,Conversions,Revenue,ServiceType,Channel,CustomerType
2024-08-17 00:00:00,Afternoon,38.68,5,153.03,Premium,Referral,New
2024-07-18 00:00:00,Afternoon,10.12,0,226.56,Luxury,Walk-in,Returning
2024-12-11 00:00:00,Morning,10.58,3,267.06,Premium,Referral,Returning
2024-01-24 00:00:00,Afternoon,46.21,2,11.35,Basic,Referral,Returning
2024-03-01 00:00:00,Evening,23.72,2,275.38,Basic,Google Ads,Returning
2024-07-04 00:00:00,Evening,43.36,1,28.67,Basic,Google Ads,New
2024-07-15 00:00:00,Evening,8.66,1,182.28,Basic,Instagram,Returning
2024-11-14 00:00:00,Morning,47.61,3,172.2,Basic,Website,Returning
2024-04-01 00:00:00,Morning,38.15,1,224.81,Basic,Google Ads,New
2024-04-07 00:00:00,Morning,6.33,1,112.46,Premium,Instagram,New
2024-05-05 00:00:00,Night,26.67,2,23.24,Premium,Website,Returning
2024-09-25 00:00:00,Evening,23.04,3,192.97,Luxury,Walk-in,Returning
2024-08-15 00:00:00,Morning,34.44,2,282.94,Luxury,Instagram,New
2024-03-01 00:00:00,Evening,14.08,3,187.96,Premium,Walk-in,New
2024-05-15 00:00:00,Night,31.43,0,45.72,Basic,Google Ads,New
2024-09-12 00:00:00,Afternoon,41,4,153.87,Basic,Website,New
2024-07-22 00:00:00,Afternoon,11.94,0,108.51,Luxury,Walk-in,New
2024-05-05 00:00:00,Evening,36.68,1,247.24,Luxury,Referral,Returning
2024-09-01 00:00:00,Morning,7.56,2,44.27,Premium,Website,New
2024-09-30 00:00:00,Evening,39.08,4,45.25,Premium,Website,New
2024-02-01 00:00:00,Afternoon,27.42,0,69.88,Luxury,Instagram,Returning
2024-01-10 00:00:00,Evening,29.81,3,284.66,Basic,Website,New
2024-10-07 00:00:00,Night,7.06,3,145.63,Luxury,Walk-in,New
2024-04-09 00:00:00,Morning,44,2,11.92,Basic,Website,New
2024-03-06 00:00:00,Evening,27.1,2,93.81,Premium,Google Ads,New
2024-01-24 00:00:00,Afternoon,12.95,1,134.75,Basic,Website,New
2024-11-15 00:00:00,Morning,44,3,94.55,Premium,Google Ads,New
2024-10-06 00:00:00,Night,40.86,4,68.94,Luxury,Website,New
2024-12-18 00:00:00,Evening,15.84,3,173.95,Basic,Referral,New
2024-11-03 00:00:00,Evening,32.49,2,288.65,Premium,Google Ads,New
2024-12-13 00:00:00,Night,26.26,2,283.61,Luxury,Walk-in,Returning
2024-01-17 00:00:00,Morning,46.61,1,72.54,Basic,Referral,Returning
2024-10-09 00:00:00,Evening,20.25,4,289.03,Basic,Referral,Returning
2024-06-24 00:00:00,Night,48.34,0,55.28,Basic,Google Ads,Returning
2024-04-11 00:00:00,Evening,37.44,2,144.11,Premium,Walk-in,New
2024-09-29 00:00:00,Night,10.63,2,259.55,Luxury,Google Ads,New
2024-09-02 00:00:00,Morning,17.72,3,214.56,Premium,Google Ads,New
2024-05-22 00:00:00,Evening,16.01,0,260.38,Premium,Google Ads,Returning
2024-10-07 00:00:00,Night,4.57,3,237.52,Basic,Referral,Returning
2024-04-06 00:00:00,Morning,34.65,2,12.72,Luxury,Website,New
2024-01-24 00:00:00,Morning,49.66,5,222.57,Luxury,Walk-in,New
2024-12-04 00:00:00,Morning,35.31,1,158.13,Basic,Website,Returning
2024-08-06 00:00:00,Night,21.62,3,134.3,Basic,Instagram,Returning
2024-10-31 00:00:00,Evening,42.1,0,88.11,Premium,Google Ads,Returning
2024-03-02 00:00:00,Morning,49.05,5,19.54,Basic,Walk-in,Returning
2024-02-12 00:00:00,Evening,46.93,3,200.78,Luxury,Referral,New
2024-10-29 00:00:00,Morning,17.29,2,241.76,Luxury,Instagram,New
2024-05-10 00:00:00,Evening,1.51,7,143.7,Basic,Instagram,Returning
2024-02-07 00:00:00,Morning,34.56,3,75.35,Premium,Referral,New
2024-05-29 00:00:00,Afternoon,40.65,2,293.09,Premium,Google Ads,Returning
2024-11-19 00:00:00,Afternoon,3.75,1,48.81,Premium,Walk-in,Returning
2024-03-16 00:00:00,Evening,29.79,1,194.37,Luxury,Referral,New
2024-02-12 00:00:00,Evening,26.64,2,77.14,Luxury,Walk-in,New
2024-04-30 00:00:00,Night,4.96,1,60.06,Basic,Google Ads,Returning
2024-06-13 00:00:00,Afternoon,46.05,3,241.38,Premium,Google Ads,New
2024-11-30 00:00:00,Evening,10.51,0,152.41,Premium,Referral,New
2024-06-26 00:00:00,Afternoon,21.13,2,219.79,Luxury,Walk-in,Returning
2024-10-21 00:00:00,Night,22.6,4,158.14,Luxury,Instagram,New
2024-03-16 00:00:00,Morning,21.56,1,177.23,Basic,Website,Returning
2024-10-30 00:00:00,Night,38.25,1,289.36,Premium,Walk-in,Returning
2024-03-01 00:00:00,Morning,29.75,1,165.1,Basic,Walk-in,New
2024-10-18 00:00:00,Night,3.65,2,228.22,Basic,Website,New
2024-05-13 00:00:00,Afternoon,12.92,4,258.65,Luxury,Referral,New
2024-07-17 00:00:00,Evening,49.22,1,30.58,Luxury,Referral,Returning
2024-02-11 00:00:00,Night,37.01,1,17.84,Premium,Website,Returning
2024-05-29 00:00:00,Morning,9.54,6,287.33,Basic,Google Ads,Returning
2024-03-16 00:00:00,Morning,25.09,3,109.24,Basic,Website,New
2024-01-03 00:00:00,Morning,6.57,1,277.57,Basic,Walk-in,New
2024-07-18 00:00:00,Night,1.06,1,127.51,Luxury,Walk-in,Returning
2024-07-10 00:00:00,Morning,44.08,4,213.31,Premium,Walk-in,New
2024-06-25 00:00:00,Night,32.01,1,23.78,Luxury,Google Ads,New
2024-12-19 00:00:00,Morning,46.89,5,11.7,Luxury,Google Ads,New
2024-06-20 00:00:00,Afternoon,39.02,0,48.05,Basic,Google Ads,Returning
2024-04-05 00:00:00,Night,2.15,0,33.87,Premium,Website,New
2024-07-02 00:00:00,Morning,35.8,2,96.37,Luxury,Website,Returning
2024-09-13 00:00:00,Afternoon,1.13,1,266.69,Basic,Referral,Returning
2024-07-08 00:00:00,Night,40.03,0,154.75,Premium,Website,New
2024-11-07 00:00:00,Night,14.6,2,187.47,Premium,Walk-in,New
2024-12-20 00:00:00,Morning,13.94,3,101.38,Basic,Referral,New
2024-05-05 00:00:00,Morning,44.77,3,148.03,Luxury,Website,Returning
2024-06-25 00:00:00,Evening,2.19,3,107.39,Luxury,Walk-in,New
2024-01-07 00:00:00,Night,26.9,2,75.39,Luxury,Instagram,Returning
2024-08-04 00:00:00,Morning,16.56,0,275.35,Luxury,Referral,New
2024-06-04 00:00:00,Evening,15.71,2,50.07,Luxury,Referral,Returning
2024-10-11 00:00:00,Afternoon,49.99,1,250.52,Basic,Walk-in,Returning
2024-11-15 00:00:00,Night,36.55,3,143.37,Luxury,Walk-in,New
2024-01-09 00:00:00,Afternoon,46.77,3,246.32,Premium,Referral,New
2024-09-13 00:00:00,Morning,39.49,3,287.18,Premium,Referral,Returning
2024-03-20 00:00:00,Night,34.89,5,289.95,Basic,Instagram,New
2024-01-27 00:00:00,Morning,37.71,2,202.34,Luxury,Google Ads,Returning
2024-07-29 00:00:00,Afternoon,30.4,0,152.82,Basic,Referral,Returning
2024-04-24 00:00:00,Night,28.65,2,24.53,Luxury,Walk-in,New
2024-12-18 00:00:00,Afternoon,14.34,1,244.49,Luxury,Referral,New
2024-05-31 00:00:00,Morning,1.08,2,71.2,Premium,Referral,Returning
2024-10-30 00:00:00,Morning,24.51,6,216.7,Basic,Walk-in,Returning
2024-05-04 00:00:00,Morning,14.04,1,150.68,Premium,Website,New
2024-01-05 00:00:00,Afternoon,40.41,2,146.24,Luxury,Instagram,New
2024-01-27 00:00:00,Night,48.72,0,259.64,Basic,Google Ads,Returning
