Date,Service Category,Marketing Channel,Season,Customer Type,Ad Spend,Conversions,Daily Revenue
2025-03-13,Cleaning,Flyers,Fall,Returning,40.74,9,303.06
2024-11-19,HVAC Repair,Yelp,Fall,Returning,103.26,2,72.33
2024-08-12,HVAC Repair,Flyers,Winter,New,63.71,6,95.32
2024-09-01,Electrician,Referral,Spring,New,196.08,3,113.52
2024-08-19,Cleaning,Flyers,Winter,Returning,42.43,7,159.32
2024-12-24,Plumbing,Referral,Winter,Returning,19.08,4,169.15
2024-08-31,Plumbing,Yelp,Winter,New,87.76,6,54.4
2025-02-27,Plumbing,Referral,Summer,Returning,109.9,5,178.52
2025-03-19,Cleaning,Yelp,Fall,New,141.06,8,47.11
2025-04-18,Electrician,Referral,Winter,Returning,90.53,6,57.62
2025-03-12,HVAC Repair,Yelp,Fall,New,27.77,4,160.92
2024-07-26,HVAC Repair,Yelp,Fall,New,59.09,1,38.74
2025-03-14,Plumbing,Google,Fall,Returning,74.31,10,386.34
2024-07-16,Electrician,Referral,Fall,New,164.87,4,92.85
2024-10-15,Electrician,Google,Summer,Returning,155.03,2,82.26
2024-05-27,Plumbing,Referral,Spring,New,161.71,7,255.16
2025-03-15,Electrician,Yelp,Fall,New,25.89,7,227.8
2024-09-12,Cleaning,Flyers,Spring,New,188.62,5,211.62
2024-11-10,HVAC Repair,Referral,Fall,New,16.52,1,48.72
2025-04-27,Plumbing,Referral,Winter,Returning,25.24,8,264.36
2024-08-01,Cleaning,Yelp,Winter,New,133.03,7,256.51
2024-11-22,HVAC Repair,Google,Fall,Returning,90.99,7,294.01
2025-01-16,Cleaning,Yelp,Spring,Returning,63.04,6,296.12
2024-07-04,Plumbing,Flyers,Fall,New,106.67,3,25.34
2025-03-10,Plumbing,Flyers,Fall,New,27.99,7,342.29
2024-12-12,Electrician,Flyers,Winter,Returning,54.05,4,56.22
2024-05-21,HVAC Repair,Flyers,Spring,Returning,24.23,9,446.29
2025-02-25,Plumbing,Referral,Summer,New,163.94,7,128.84
2024-11-02,Cleaning,Flyers,Fall,Returning,148.57,10,437.99
2024-12-24,HVAC Repair,Yelp,Winter,Returning,117.29,10,334.41
2025-03-25,Cleaning,Referral,Fall,Returning,194.52,4,191.88
2024-07-27,Cleaning,Google,Fall,New,124.35,9,219.19
2025-02-19,Plumbing,Yelp,Summer,Returning,174.11,5,65.1
2025-01-17,Cleaning,Flyers,Spring,Returning,74.38,7,249.2
2024-10-29,Cleaning,Yelp,Summer,Returning,190.61,5,42.16
2025-03-17,Electrician,Yelp,Fall,New,28.87,7,193.87
2024-05-10,Plumbing,Google,Spring,Returning,14.87,1,35
2025-02-13,Plumbing,Flyers,Summer,Returning,63.88,7,287.6
2025-03-18,Cleaning,Flyers,Fall,New,61.59,3,30.08
2024-05-09,Plumbing,Referral,Spring,New,139.57,8,166.87
2024-12-15,HVAC Repair,Flyers,Winter,Returning,65.68,7,49.15
2025-01-09,Plumbing,Flyers,Spring,New,90.38,6,217.14
2024-11-02,Plumbing,Flyers,Fall,Returning,130.52,8,360.51
2025-01-23,Plumbing,Referral,Spring,Returning,12.37,7,334.74
2024-10-28,HVAC Repair,Referral,Summer,Returning,151.86,10,430.55
2024-05-25,HVAC Repair,Referral,Spring,Returning,143.02,7,226.63
2024-10-22,Plumbing,Google,Summer,Returning,152.57,2,38.89
2024-07-22,Electrician,Yelp,Fall,Returning,173.74,4,52.8
2025-03-19,Electrician,Referral,Fall,New,72.65,1,11.07
2024-09-21,Electrician,Flyers,Spring,Returning,119.7,2,59.1
2024-07-22,HVAC Repair,Flyers,Fall,New,154.84,2,65.57
2024-09-11,HVAC Repair,Flyers,Spring,Returning,168.72,8,113.65
2025-01-07,Electrician,Google,Spring,Returning,92.24,9,200.4
2025-04-25,Plumbing,Yelp,Winter,Returning,66.66,6,56.73
2024-12-18,Electrician,Yelp,Winter,Returning,191.85,3,80
2024-12-16,Plumbing,Flyers,Winter,New,98.76,3,60.68
2024-08-28,Electrician,Flyers,Winter,New,138.37,3,55.67
2024-12-07,HVAC Repair,Flyers,Winter,New,198.65,3,62.66
2024-08-10,Cleaning,Yelp,Winter,New,171.2,8,324.48
2025-02-24,Plumbing,Google,Summer,Returning,138.03,3,56.97
2024-11-16,Electrician,Referral,Fall,New,109.53,7,188.35
2025-02-15,Plumbing,Google,Summer,New,177.22,8,200.12
2025-02-19,Plumbing,Google,Summer,Returning,62.39,9,364.22
2025-04-02,HVAC Repair,Referral,Winter,Returning,169.35,2,10.24
2025-03-08,Cleaning,Flyers,Fall,Returning,60.98,1,37.02
2024-05-06,Plumbing,Referral,Spring,Returning,101.22,6,97.31
2024-06-30,Cleaning,Google,Summer,New,45.53,6,231.37
2025-01-05,Cleaning,Flyers,Spring,Returning,102.28,9,341.66
2025-02-20,Cleaning,Yelp,Summer,Returning,15.84,5,68.49
2024-12-11,Electrician,Yelp,Winter,Returning,153.38,4,53.67
2025-03-16,Electrician,Referral,Fall,Returning,73.31,5,235.77
2025-03-26,Cleaning,Google,Fall,Returning,113.88,6,158.23
2024-06-26,Cleaning,Flyers,Summer,Returning,79.23,8,171.41
2024-05-20,Electrician,Google,Spring,Returning,124.7,10,203.07
2025-01-24,Plumbing,Yelp,Spring,New,101.29,10,410.99
2024-11-12,Plumbing,Flyers,Fall,New,140.17,4,59.8
2025-03-07,Cleaning,Yelp,Fall,New,175,9,176.02
2025-03-05,Cleaning,Google,Fall,New,73.96,4,49.53
2024-10-15,Plumbing,Flyers,Summer,New,31.33,4,57.31
2024-11-19,Electrician,Google,Fall,Returning,161.25,8,60.37
2025-03-04,Plumbing,Yelp,Fall,New,161.13,9,331.91
2025-02-14,Plumbing,Flyers,Summer,Returning,104.54,7,330.71
2024-07-15,Cleaning,Flyers,Fall,New,18.42,2,14.06
2025-01-26,Plumbing,Referral,Spring,New,73.85,9,149.49
2025-04-11,Cleaning,Flyers,Winter,Returning,111.6,7,343.56
2024-08-19,HVAC Repair,Referral,Winter,New,151.43,8,200.88
2024-09-06,Cleaning,Yelp,Spring,New,163.64,4,133.7
2025-01-30,Cleaning,Google,Spring,Returning,29.5,9,346.81
2024-06-08,HVAC Repair,Referral,Summer,New,174.67,5,57.59
2024-08-19,Electrician,Yelp,Winter,Returning,103,4,59.02
2024-10-06,Plumbing,Google,Summer,Returning,134.74,6,64.52
2024-12-23,HVAC Repair,Flyers,Winter,Returning,174.12,2,50.07
2024-06-21,Cleaning,Referral,Summer,New,83.09,4,116.04
2024-09-15,HVAC Repair,Yelp,Spring,Returning,96.73,9,407.94
2024-10-12,Electrician,Flyers,Summer,Returning,97.72,5,191.84
2024-12-30,Plumbing,Google,Winter,New,171.56,2,85.37
2024-08-07,Cleaning,Google,Winter,Returning,67.9,10,402.93
2024-12-03,Plumbing,Flyers,Winter,Returning,172.48,6,74.55
2024-07-09,Electrician,Referral,Fall,Returning,56.37,1,41.3
2024-06-09,Electrician,Flyers,Summer,New,54.26,4,46.49
2024-12-28,Cleaning,Yelp,Winter,Returning,88.64,9,252.2
2024-05-27,Cleaning,Google,Spring,New,111.21,5,117.52
2025-03-19,Electrician,Referral,Fall,Returning,64.14,7,70.01
2025-01-30,HVAC Repair,Yelp,Spring,Returning,35.3,1,35.49
2024-08-16,Electrician,Flyers,Winter,New,13.4,10,164.7
2024-12-09,HVAC Repair,Yelp,Winter,Returning,48.42,10,375.63
2025-05-02,HVAC Repair,Flyers,Spring,New,182.99,10,188.76
2024-10-04,Electrician,Referral,Summer,New,137.95,6,69.79
2024-07-07,Electrician,Yelp,Fall,Returning,65.26,6,68.34
2024-09-07,Cleaning,Google,Spring,Returning,41.52,5,55.71
2024-08-03,HVAC Repair,Google,Winter,Returning,120.22,5,148.03
2024-11-04,Plumbing,Yelp,Fall,New,151.99,3,17.45
2024-05-02,Cleaning,Flyers,Spring,New,25.86,7,252.21
2025-01-25,Plumbing,Flyers,Spring,New,124.65,6,147.3
2025-01-12,HVAC Repair,Flyers,Spring,Returning,10.81,3,110.45
2024-08-19,Cleaning,Google,Winter,Returning,75.82,9,403.4
2025-04-04,HVAC Repair,Google,Winter,Returning,149.57,5,204.78
2024-10-13,Cleaning,Google,Summer,Returning,156.87,10,330.33
2024-08-16,Electrician,Referral,Winter,Returning,104.19,8,389.89
2024-12-04,HVAC Repair,Flyers,Winter,Returning,106.35,10,285.4
2024-07-15,Electrician,Yelp,Fall,New,132.2,3,22.84
2024-09-16,Plumbing,Yelp,Spring,New,136.98,4,168.84
2024-09-03,Cleaning,Google,Spring,Returning,123.23,5,200.15
2024-09-11,Plumbing,Flyers,Spring,Returning,29.69,3,124.96
2024-05-15,Cleaning,Google,Spring,Returning,127.95,6,223.65
2024-07-02,Cleaning,Google,Fall,Returning,121.88,3,58.74
2025-01-12,Electrician,Google,Spring,New,168.99,9,276.64
2024-07-14,HVAC Repair,Flyers,Fall,Returning,56.15,2,33.72
2024-06-08,Plumbing,Yelp,Summer,Returning,14.78,10,364.89
2025-04-28,HVAC Repair,Flyers,Winter,New,57.33,10,315.59
2025-01-20,Plumbing,Referral,Spring,Returning,109.97,5,90.46
2024-12-25,Plumbing,Referral,Winter,New,96.87,5,159.36
2024-09-17,Electrician,Referral,Spring,New,101.46,3,19.87
2024-08-07,Cleaning,Flyers,Winter,New,119.31,7,35.76
2025-04-29,Plumbing,Flyers,Winter,Returning,15.95,2,38.26
2024-06-20,HVAC Repair,Referral,Summer,Returning,91.53,9,254.67
2024-11-27,HVAC Repair,Flyers,Fall,Returning,76.72,2,23.49
2025-01-31,Cleaning,Referral,Spring,Returning,10.65,9,98.07
2025-01-11,Electrician,Referral,Spring,New,42.51,9,263.35
2024-05-18,Cleaning,Google,Spring,Returning,57.79,7,105.66
